id_tableau,titre_tableau,source,pays,2013,2014,2015,2016,2017,2018
13.06,Evolution des importations à partir des Pays du COMESA (en millions de FBU),ISTEEBU,RDC,"6406,0","6275,6","4790,5","3361,4","1640,4","6989,5"
13.06,Evolution des importations à partir des Pays du COMESA (en millions de FBU),ISTEEBU,Djibouti,"561,7","","20,1","19,5","15,0","4,5"
13.06,Evolution des importations à partir des Pays du COMESA (en millions de FBU),ISTEEBU,Egypte,"25036,5","27117,7","10027,2","9580,5","17262,4","13987,5"
13.06,Evolution des importations à partir des Pays du COMESA (en millions de FBU),ISTEEBU,Erythrée,"","","","","","0,0"
13.06,Evolution des importations à partir des Pays du COMESA (en millions de FBU),ISTEEBU,Ethiopie,"146,4","1072,8","1193,0","68,1","106,3","73,5"
13.06,Evolution des importations à partir des Pays du COMESA (en millions de FBU),ISTEEBU,Kenya,"86326,3","74665,9","56680,2","58249,2","73559,2","69955,9"
13.06,Evolution des importations à partir des Pays du COMESA (en millions de FBU),ISTEEBU,Comores,"0,8","","","3,9","",""
13.06,Evolution des importations à partir des Pays du COMESA (en millions de FBU),ISTEEBU,Libye,"","3,6","","","",""
13.06,Evolution des importations à partir des Pays du COMESA (en millions de FBU),ISTEEBU,Madagascar,"239,9","1953,3","202,2","266,8","34,1","1,3"
13.06,Evolution des importations à partir des Pays du COMESA (en millions de FBU),ISTEEBU,Maurice,"1741,4","1427,4","377,1","220,0","833,2","285,3"
