id_tableau,titre_tableau,source,categorie,sous-categorie,2010,2011,2012,2013,2014,2015,2016,2017,2018
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Bubanza,513877,469567,456489,598944,601579,655548,742419,762111,720278
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Cibitoke,556962,686448,759726,915115,958671,919741,96597,1024219,1016755
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Bujumbura,497481,488772,532416,671850,668008,616205,708430,752704,744872
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Bururi,483816,503174,510301,689515,746549,379588,429515,473086,483927
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Makamba,475455,510122,553792,734208,640228,593468,628580,684404,667226
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Gitega,1155367,1148995,1297508,1676733,1671075,1683867,2351959,2280670,1911570
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Karusi,817890,673775,748226,974562,975558,924325,1338074,1127037,918253
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Muramvya,275749,289444,298545,362769,389184,411501,581198,545080,472936
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Muyinga,827280,1039831,1257200,1474001,1343681,1439881,1697446,1419407,1371502
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Kirundo,805209,922154,972103,1265481,1284199,1490892,1716482,1570684,1471422
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Ngozi,1076719,805306,875465,1313025,1377725,1534668,1780064,1322954,1357078
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Kayanza,852058,756406,752633,955055,1167531,1369818,1646494,1302847,1092528
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Cankuzo,414502,522024,616879,794619,761615,755479,840625,813218,699892
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Rutana,375155,457597,517468,689446,641626,715933,786066,720087,667731
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Ruyigi,458551,645777,766917,1069522,973632,1013801,1239528,1225399,1154406
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Bujumbura Mairie,479062,493157,482782,504594,512222,519715,587790,651211,825378
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Mwaro,269023,269088,307648,403216,448940,454597,610234,608357,460940
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Nouveaux cas,Rumonge,"","","","","",264179,505756,553403,596249
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Bubanza,15628,8717,6719,10644,10197,9470,10650,5729,6838
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Cibitoke,15524,9527,6851,8951,6716,7681,10526,14754,12779
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Bujumbura,49748,10210,7254,5612,3580,2628,2283,4348,1624
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Bururi,9125,14040,6281,5996,8749,5097,4310,8331,18015
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Makamba,4243,4227,4743,7548,6621,6124,5556,5905,13863
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Gitega,104326,82010,75439,60416,41047,21502,23190,20058,50807
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Karusi,11380,12690,12567,10000,12815,13190,11425,8296,9606
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Muramvya,6219,11177,2518,2099,4828,5303,9184,7257,3803
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Muyinga,22047,13105,9955,8878,9766,12288,9925,10616,6551
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Kirundo,23278,9181,7639,8701,9920,6799,6633,4956,3522
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Ngozi,19665,8875,5770,10401,17409,13320,13509,12459,15313
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Kayanza,14210,7826,4083,4649,4242,4057,5695,8374,1430
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Cankuzo,3340,4655,2219,3602,5427,4057,5901,5502,2863
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Rutana,5963,5729,3499,3097,3347,2795,1985,1600,2984
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Ruyigi,5440,6061,4890,8449,12811,11872,9836,16175,15328
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Bujumbura Mairie,53088,47616,38020,37720,41117,25529,36490,35251,59210
