id_tableau,titre_tableau,source,categorie,sexe,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
7.09,Evolution des Données de l'Enseignement Supérieur Public,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des étudiants,"",15 306,17 573,17 815,22 647,24 993,24 878,11 694
7.09,Evolution des Données de l'Enseignement Supérieur Public,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des étudiants,feminin,2 607,3 055,3 074,3 852,4 731,4 487,2 511
7.09,Evolution des Données de l'Enseignement Supérieur Public,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des abandons,"",-,23,11,80,185,242,254
7.09,Evolution des Données de l'Enseignement Supérieur Public,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des abandons,feminin,-,8,4,16,42,36,50
7.09,Evolution des Données de l'Enseignement Supérieur Public,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des redoublants,"",-,91,15,313,983,820,1 053
7.09,Evolution des Données de l'Enseignement Supérieur Public,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des redoublants,feminin,-,11,1,59,184,137,204
7.09,Evolution des Données de l'Enseignement Supérieur Public,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des boursiers,"",-,1 710,617,3 561,11 489,11 467,7 615
7.09,Evolution des Données de l'Enseignement Supérieur Public,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des boursiers,feminin,-,298,184,597,2 132,2 052,1 501
7.09,Evolution des Données de l'Enseignement Supérieur Public,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des étudiants étrangers,"",-,12,12,12,65,17,26
7.09,Evolution des Données de l'Enseignement Supérieur Public,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des étudiants étrangers,feminin,-,2,1,1,6,2,2
7.09,Evolution des Données de l'Enseignement Supérieur Public,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des enseignants,"",508,399,707,712,825,867,720
7.09,Evolution des Données de l'Enseignement Supérieur Public,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des enseignants,feminin,77,59,82,81,84,96,123
7.09,Evolution des Données de l'Enseignement Supérieur Public,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des diplômés,"",1231,793,1 656,1 533,981,994,735
7.09,Evolution des Données de l'Enseignement Supérieur Public,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des diplômés,feminin,302,155,288,258,250,209,160
