id_tableau,titre_tableau,source,categorie,sous_categorie,2015,2016,2017
18.04,Nombre de sinistres déclarés par catégories d'Assurances non vie au 31 décembre,ARCA,Accidents corporels,"",27,71,""
18.04,Nombre de sinistres déclarés par catégories d'Assurances non vie au 31 décembre,ARCA,Maladie,"",99396,112990,""
18.04,Nombre de sinistres déclarés par catégories d'Assurances non vie au 31 décembre,ARCA,Véhicules terrestres à moteur,Responsabilité civile,795,1020,""
18.04,Nombre de sinistres déclarés par catégories d'Assurances non vie au 31 décembre,ARCA,Véhicules terrestres à moteur,Autres risques,893,986,""
18.04,Nombre de sinistres déclarés par catégories d'Assurances non vie au 31 décembre,ARCA,Incendie et autres dommages aux biens,"",87,193,""
18.04,Nombre de sinistres déclarés par catégories d'Assurances non vie au 31 décembre,ARCA,Responsabilité Civile Générale,"",57,52,""
18.04,Nombre de sinistres déclarés par catégories d'Assurances non vie au 31 décembre,ARCA,Transports aériens,"","","",""
18.04,Nombre de sinistres déclarés par catégories d'Assurances non vie au 31 décembre,ARCA,Transports maritimes,"",33,47,""
18.04,Nombre de sinistres déclarés par catégories d'Assurances non vie au 31 décembre,ARCA,Autres transports,"",128,53,""
18.04,Nombre de sinistres déclarés par catégories d'Assurances non vie au 31 décembre,ARCA,Autres risques directs dommages,"",13,10,""
