id_tableau,titre_tableau,source,province,2013,2014,2015,2016,2017
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Bubanza,241,241,367,445,520
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Bururi,34,34,48,81,89
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Rutana,41,84,114,126,299
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Cibitoke,320,320,479,578,836
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Bujumbura,105,105,155,212,206
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Ruyigi,40,40,116,125,164
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Kayanza,677,677,929,1562,1664
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Muramvya,212,212,258,282,321
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Karuzi,284,284,324,343,386
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Muyinga,"","","","",""
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Gitega,214,214,280,331,377
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Mwaro,65,65,103,127,149
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Cankuzo,5,5,33,39,44
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Makamba,56,316,342,402,364
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Kirundo,"",60,106,126,139
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Ngozi,273,273,339,349,363
11.15,Evolution du nombre d'abonnés à l'ABER par province., Ministère de l'énergie et des Mines.,Rumonge,1393,1393,1646,1784,1740
