id_tableau,titre_tableau,source,categorie,sous-categorie,2010,2011,2012,2013,2014,2015,2016,2017,2018
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bubanza,Districts sanitaires,2,2,2,2,2,2,2,2,2
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bubanza,Centres de santé publics,15,16,19,20,22,23,24,24,24
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bubanza,Centres de santé privés,9,21,18,21,17,23,22,21,19
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bubanza,Centres de santé agréés (confessionnels et associatifs),"","","","",5,5,6,6,7
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bubanza,Centres de santé,24,37,37,41,44,53,52,51,50
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bubanza,Hôpitaux publics,0,1,1,1,1,1,1,1,1
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bubanza,Hôpitaux privés,2,2,3,3,1,1,1,1,2
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bubanza,Hôpitaux agréés(confessionnels et associatifs),"","","","",2,2,2,2,2
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bubanza,Hôpitaux,2,3,4,4,4,4,4,4,5
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bujumbura rural,Districts sanitaires,3,3,3,3,3,3,3,3,3
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bujumbura rural,Centres de santé publics,30,36,38,38,40,34,37,37,39
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bujumbura rural,Centres de santé privés,27,30,29,30,22,24,26,26,28
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bujumbura rural,Centres de santé agréés (confessionnels et associatifs),"","","","",10,7,7,7,7
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bujumbura rural,Centres de santé,57,66,67,68,72,68,70,70,74
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bujumbura rural,Hôpitaux publics,3,3,3,3,3,3,3,3,3
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bujumbura rural,Hôpitaux privés,2,2,2,1,1,2,1,1,1
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bujumbura rural,Hôpitaux agréés(confessionnels et associatifs),"","","","",1,1,1,1,1
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bujumbura rural,Hôpitaux,5,5,5,4,5,6,5,5,5
4.04,Infrastructures sanitaires disponibles par province,MSPLS/Annuaire des statistiques sanitaires.,Bururi,Districts sanitaires,3,3,3,3,3,2,2,2,2
