id_tableau,titre_tableau,source,categorie,2015,2016,2017
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Paludisme à Plasmodium falciparum,776,1659,1086
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,"Autres paludismes confirmés par examen 
parasitologique",331,174,62
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Infection bactérienne du nouveau-né,384,488,519
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,"Pneumopathie, sans précision",144,337,167
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,"Maladies infectieuses, autres et non précisées",149,260,202
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,"Anomalies liées à une brièveté de la gestation et 
un poids insuffisant à la naissance, non classés 
ailleurs,",308,379,465
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,"Pneumopathie bactérienne, sans précision",100,125,93
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,"Diarhée et gastro-entérite d'origine présumée 
infectieuse",128,176,89
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,"Autres maladies bactériennes, non classées 
ailleurs",75,75,41
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Insuffisance rénale aiguë,1,3,1
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Diabète sucré insulino-dépendant,1,1,0
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,"Pneumopathies bactériennes, non classées 
ailleurs",45,20,18
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Lésion traumatique intracrânienne,8,7,6
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Anémie par carence en fer,54,84,70
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Insuffisance cardiaque,5,7,7
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Conjonctivite,8,11,3
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Cardiopathie hypertensive,6,0,4
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Détresse respiratoire du nouveau-né,75,180,177
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Hypertension essentielle (primitive),0,1,0
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Kératite,0,"",""
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,"Accident de transport, sans précision",4,0,1
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,"Malnutrition protéino-énergétique grave, sans 
précision",55,58,34
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Travail prématuré (avant terme),44,36,24
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Syndrome d'infection aiguë par VIH,6,2,1
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,"Accident vasculaire cérébral, non précisé comme 
étant hémorragique ou par infarctus",0,0,0
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Insuffisance respiratoire aiguë,33,34,15
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,Gastrite et duodénite,0,0,2
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,"Bronchiolite (aiguë), sans précision",48,43,81
4.09,Les principales causes de mortalité dans les hôpitaux chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires.,"Insuffisance cardiaque, sans précision",8,4,9
