id_tableau,titre_tableau,source,categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.17,Evolution mensuelle des précipitations par station météorologique de Muyinga (en mm),IGEBU,Janvier,"95,3","71,9","123,3","72,2","136,4","83,3","14,6","75,3",78,"98,1","90,2","70,3","144,9"
3.17,Evolution mensuelle des précipitations par station météorologique de Muyinga (en mm),IGEBU,Février,"89,7","130,9","183,1","118,7",240,"88,3","96,6","104,9","167,7","207,2","158,6","48,5","102,6"
3.17,Evolution mensuelle des précipitations par station météorologique de Muyinga (en mm),IGEBU,Mars,133,"69,5","223,7","249,9",141,131,"89,5","255,3","146,2","115,1",55,"216,6",-
3.17,Evolution mensuelle des précipitations par station météorologique de Muyinga (en mm),IGEBU,Avril,"165,1","198,6","137,9","220,4","120,5",171,203,205,"118,7",258,"177,3","160,4","244,1"
3.17,Evolution mensuelle des précipitations par station météorologique de Muyinga (en mm),IGEBU,Mai,"121,7","53,8","31,1","31,1","93,5","91,9","102,2","33,4","1,9",75,"2,9","85,8","52,1"
3.17,Evolution mensuelle des précipitations par station météorologique de Muyinga (en mm),IGEBU,Juin,"0,9","70,7","19,8",6,"6,6","70,6","9,4",0,"24,3","11,8",0,"0,2",0
3.17,Evolution mensuelle des précipitations par station météorologique de Muyinga (en mm),IGEBU,Juillet,"1,5","8,3","4,2",0,0,"13,4",0,"21,6",0,0,0,0,0
3.17,Evolution mensuelle des précipitations par station météorologique de Muyinga (en mm),IGEBU,Août,"32,2","19,2","3,4","53,7",0,"3,4","24,3","3,4","83,4","36,8","6,9","31,6","73,2"
3.17,Evolution mensuelle des précipitations par station météorologique de Muyinga (en mm),IGEBU,Septembre,"39,9","104,3","55,3","49,6",22,"103,4","102,5","42,9","83,7","37,1","25,9","72,9","3,7"
3.17,Evolution mensuelle des précipitations par station météorologique de Muyinga (en mm),IGEBU,Octobre,"31,1","81,4","155,1","78,4","51,3","135,9","162,1","63,2","106,7","153,5","94,3","90,1","120,3"
