id_tableau,titre_tableau,source,categorie,sous-categorie,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
4.11,Femmes ayant réçu le vaccin antitétanique,MSPLS/Annuaire des statistiques sanitaires.,Femmes enceintes,"",713818,1047587,743915,371585,461923,520143,481164,475401,393392,"",""
4.11,Femmes ayant réçu le vaccin antitétanique,MSPLS/Annuaire des statistiques sanitaires.,Femmes enceintes,VATI,63030,344799,76539,"",79354,88361,91352,94543,86290,"",""
4.11,Femmes ayant réçu le vaccin antitétanique,MSPLS/Annuaire des statistiques sanitaires.,Femmes enceintes,VATII,162697,175697,384135,"",114656,124294,110972,92882,85561,"",""
4.11,Femmes ayant réçu le vaccin antitétanique,MSPLS/Annuaire des statistiques sanitaires.,Femmes enceintes,VATIII,162697,175697,"","",96023,108113,96287,84239,75757,"",""
4.11,Femmes ayant réçu le vaccin antitétanique,MSPLS/Annuaire des statistiques sanitaires.,Femmes enceintes,VATIV,162697,175697,"","",79268,88660,80954,74487,70242,"",""
4.11,Femmes ayant réçu le vaccin antitétanique,MSPLS/Annuaire des statistiques sanitaires.,Femmes enceintes,VATV,162697,175697,283241,"",92622,110715,104599,84787,75542,"",""
4.11,Femmes ayant réçu le vaccin antitétanique,MSPLS/Annuaire des statistiques sanitaires.,Femmes non enceintes,"","",265152,71920,226449,141764,118093,122256,81727,48169,"",""
4.11,Femmes ayant réçu le vaccin antitétanique,MSPLS/Annuaire des statistiques sanitaires.,Femmes non enceintes,VATI,"",28916,22324,68128,30429,26138,32256,19045,11891,"",""
4.11,Femmes ayant réçu le vaccin antitétanique,MSPLS/Annuaire des statistiques sanitaires.,Femmes non enceintes,VATII,"",59059,"",55823,37330,26681,30819,19377,10941,"",""
4.11,Femmes ayant réçu le vaccin antitétanique,MSPLS/Annuaire des statistiques sanitaires.,Femmes non enceintes,VATIII,"",59059,49596,38946,29681,23656,22523,16499,9831,"",""
4.11,Femmes ayant réçu le vaccin antitétanique,MSPLS/Annuaire des statistiques sanitaires.,Femmes non enceintes,VATIV,"",59059,"",31393,21782,19533,17238,13912,7583,"",""
4.11,Femmes ayant réçu le vaccin antitétanique,MSPLS/Annuaire des statistiques sanitaires.,Femmes non enceintes,VATV,"",59059,"",32159,22542,22085,19420,12894,7923,"",""
