id_tableau,titre_tableau,source,categorie,2010,2011,2012,2013,2014,2015,2016,2017,2018
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Autres maladies,3859,50480,96996,636719,2841,"",777085,290857,228942
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Autres maladies respiratoires,"","","","","","","",18598,24747
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,BPCO (MCR),"","","","","","","",667,1040
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Cancer,"","","","","","","",279,79
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Cardiopathie,"","","","","","","",2210,2064
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Cataracte suspectée,"","","","","","",502,322,249
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Choléra,289,758,79,813,129,224,41,56,126
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Conjonctivite,6218,27687,42393,50984,43164,38551,41558,37500,32378
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Diabète,"","","","","","","",6034,8527
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Diabète (≥ 7mmol/l et glycosurei+),"","","","","","","",4113,3579
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Diabète suspecté,"","","","","","",16718,"",""
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Diarrhée sanglante,"","","","","","",9912,10036,7519
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Diarrhée avec déshydratation,"","","","","","","",28457,19956
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Épilepsie,"","","","","","",20264,15017,11454
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Fièvre hémorragique,"","","","","","",4,3,""
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,HTA (≥140/90 mmHg qlq soit âge),"","","","","","","",17822,25267
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,HTA suspectée (hypertension artérielle),"","","","","","",23974,"",""
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Helminthiase Transmise par le Sol,"","","","","","",256256,183747,155943
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Infections des voies resp. inférieures,10257,"","","","","",751206,762838,910430
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,IST (autres que VIH/SIDA),"","","","","","",124529,7240,7160
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,IST : écoulement urétrale,"","","","","","","",25269,32452
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,IST : écoulement vaginale,"","","","","","","",60316,77402
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,IST : ulcération génitale,"","","","","","","",36363,41338
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Lèpre (confirmée par laboratoire),83,814,671,732,935,868,613,633,""
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Maladie diarrhéique,77,21099,"",42286,39588,27378,28216,"",""
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Malnutrition,3319,11811,20465,25743,15467,11793,20422,28560,31768
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Méningite à méningocoque,121,435,819,544,344,249,1769,9,11
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Onchocercose,5,440,331,154,288,"",234,201,117
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Paludisme,62671,729837,1148919,2052697,2342957,2608316,4109333,3804406,2310104
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Paralysie Flasque Aigüe,"","","","","","",244,72,""
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Pneumonie,"","","","","","",98802,99192,117698
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Plaie-Traumatisme - Brûlure,2332,60253,"","","",70615,64682,"",""
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Rougeole,1830,1379,776,72,132,90,222,77,""
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,TBC toute forme (TTF),"","","","","","","",4983,4517
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,TEP,"","","","","","","",748,750
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Sida suspect,5885,11836,14496,19965,23859,25650,30241,"",""
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,TPB-,"","","","","","","",4775,4254
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,TPB+,"","","","","","",3506,3911,3812
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Trachome actif,"","","","","","",274,133,""
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Traumatisme : accidents de circulation sur la voie publique,"","","","","","","",18523,20871
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Traumatisme par arme,"","","","","","",768,650,752
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Trichiasis,"","","","","","",59,43,""
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Troubles psychiques suspectés,"","","","","","",1080,863,1052
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Tuberculose pulmonaire,5646,15742,"",19527,16974,17473,20966,18569,""
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Typhus exanthématique,1,9,"",5,0,"",14,2,""
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Violence sexuelle,"","","","","","",735,1206,1744
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Violence physique autre que sexuelle,"","","","","","","",1360,1095
4.02,Les principales causes de morbidité dans les centres de santé chez les personnes de 5 ans et plus.,MSPLS/Annuaire des statistiques sanitaires.,Autre violence basée sur le genre,"","","","","","","",2999,1740
