id_tableau,titre_tableau,source,categorie,Libellés,2010,2011,2012,2013,2014,2015,2016,2017
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,Service des ventes,144.1,156.8,192.1,180.7,207.2,201.5,190.1,208.2
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,Service de réparation,1.3,1.4,4.8,6.7,6.5,6.4,10.9,12.4
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,Service des transports,36.1,25.9,25.5,26.5,32.8,45.5,49.4,54.9
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,Service de communication,52.3,64.4,81.7,81.4,131,157,144,165.8
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,Service des Banques et assurances,93,108.3,119,120.5,144.8,164,176.6,211.2
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,Service des hôtels et restaurants,309.2,354.8,418.4,426.3,487.5,548.9,551.5,662.2
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,Service de l'Administration publique,142.7,159.3,203.7,234.6,287.2,322.3,327,354.9
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,Service de l'éducation,141,184.7,219.7,227.9,253.6,269.9,282.1,306.8
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,Service de la santé,38.4,67,98.4,106.4,121.5,91.5,99.5,109.3
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,Autres services,57.2,54.9,49.7,67.6,99.2,111.9,120.2,138.8
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,SIFIM,-91.1,-106,-105.3,-105.3,-133.7,-144.2,-137.2,-157.6
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,Total VA,924.2,1071.3,1307.6,1373.4,1637.5,1774.5,1814.3,2066.9
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,PIB aux coûts des facteurs,2270.2,2523.7,3030,3430.3,3749.2,4012.8,4357.7,5060.4
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,Impôts et taxes,230.9,295.8,327.3,382.2,435.9,405.1,490.5,502
