id_tableau,titre_tableau,source,categorie,2010,2011,2012,2013,2014,2015,2016,2017,2018
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Autres maladies,32348,192803,370920,454267,475995,"",489987,168905,137852
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Autres maladies respiratoires,"","","","","","","",9778,13901
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,BPCO (MCR),"","","","","","","",116,130
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Cancer,"","","","","","","",4,7
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Cardiopathie,"","","","","","","",184,107
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Cataracte suspectée,"","","","","","",556,305,234
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Choléra,40,124,248,67,28,19,36,"",34
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Conjonctivite,2895,156184,54,278192,219356,218794,276042,192742,190865
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Diabète,"","","","","","","",12,10
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Diabète (≥ 7mmol/l et glycosurei+),"","","","","","","",314,79
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Diarrhée sanglante,"","","","","","",10135,8110,7924
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Diarrhée avec déshydratation,"","","","","","","",90509,89709
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Épilepsie,"","","","","","",4504,2609,1564
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Fièvre hémorragique,"","","","","","",9,1,""
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Helminthiase Transmise par le Sol,"","","","","","",158388,115673,85187
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,HTA (≥140/90 mmHg qlq soit âge),"","","","","","","",552,308
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Infections des voies resp. inférieures,16850,80178,"","","","",1435662,1237653,1276200
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Infection oreille < 5 ans,"","","","","","",84160,78862,87304
