id_tableau,titre_tableau,source,categorie,sous_categorie,2015,2016,2017
18.09,Evolution des prestations par categorie d'assurance Vie(en milliers de FBU) au 31 Décembre,ARCA,Assurances individuelles,Contrat en cas de vie,"","",""
18.09,Evolution des prestations par categorie d'assurance Vie(en milliers de FBU) au 31 Décembre,ARCA,Assurances individuelles,Contrat en cas de décès,74317,12181,18868
18.09,Evolution des prestations par categorie d'assurance Vie(en milliers de FBU) au 31 Décembre,ARCA,Assurances individuelles,Mixte,66630,34144,150704
18.09,Evolution des prestations par categorie d'assurance Vie(en milliers de FBU) au 31 Décembre,ARCA,Assurances individuelles,Epargne,216079,297137,680047
18.09,Evolution des prestations par categorie d'assurance Vie(en milliers de FBU) au 31 Décembre,ARCA,Assurances individuelles,Titre de capitalisation,"","",""
18.09,Evolution des prestations par categorie d'assurance Vie(en milliers de FBU) au 31 Décembre,ARCA,Assurances individuelles,complémentaires,"",1500,6500
18.09,Evolution des prestations par categorie d'assurance Vie(en milliers de FBU) au 31 Décembre,ARCA,Assurances collectives,Contrat en cas de vie,"","",""
18.09,Evolution des prestations par categorie d'assurance Vie(en milliers de FBU) au 31 Décembre,ARCA,Assurances collectives,Contrat en cas de décès,372652,610385,169816
18.09,Evolution des prestations par categorie d'assurance Vie(en milliers de FBU) au 31 Décembre,ARCA,Assurances collectives,Mixte,"","",216825
18.09,Evolution des prestations par categorie d'assurance Vie(en milliers de FBU) au 31 Décembre,ARCA,Assurances collectives,Epargne,2870379,3141939,4621217
