id_tableau,titre_tableau,source,région,centre,2009,2010,2011,2012,2013,2014,2015,2016,2017
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Bujumbura ,Bujumbura ,126 554 776,142 884 348,144 826 758,140 379 792,148 630 887,163 999 682,128 647 656,149 420 875,137 371 506
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Sud,Rumonge,3 189 267,4 398 939,4 693 632,3 643 242,5 492 087,7 266 566,3 708 835,3 398 327,1968540
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Sud,Nyanza-Lac,608 295,691 492,814 782,1 624 552,95 681,723 277,785 296,602 299,327 348
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Sud,Makamba/Mabanda,1 559 951,2 098 154,1 729 309,1 537 636,1 567 361,975 143,1 443 393,1 214 163,563 780
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Sud,Bururi/Matana,1 290 385,2 143 806,1 940 984,2 495 132,892 451,3 203 394,1 084 169,1 641 218,1 701 895
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Est,Gitega,9 442 741,11 988 135,11 691 434,17 160 504,10 109 876,11 008 006,11 702 143,15 512 438,7 857 245
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Est,Cankuzo,473 238,1 137 540,371 088,456 084,662 290,452 978,592 300,564 610,174 187
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Est,Ruyigi,1 156 075,1 335 389,1 157 903,1 357 148,1 028 533,923 118,1 140 956,645 651,620 497
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Est,Rutana,630 877,879 453,1 257 427,1 069 905,938 836,2 427 566,1 078 786,134 023,1 907 563
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Nord,Ngozi,3 943 951,3 329 896,7 011 102,6 539 928,8 473 979,4 103 363,5 703 832,5 302 564,3 718 490
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Nord,Kayanza,3 579 050,3 427 359,4 748 251,3 771 924,5 396 216,4 757 961,4 213 339,5 128 975,4 347 975
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Nord,Muyinga,1 263 501,1 433 791,1 794 460,1 847 441,2 865 863,2 686 094,2 645 327,2 213 633,2 122 799
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Nord,Kirundo/Marangara,1 010 850,1 310 132,1 680 455,1 508 443,1 419 833,1 736 070,2 331 041,1 179 738,1 921 401
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Nord,Karuzi/Buhiga,439 668,527 633,606 279,644 116,784 058,896 889,1 210 840,1 201 713,955 636
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Ouest,Cibitoke,2 065 326,1 441 232,4 313 731,5 125 290,6 898 421,6 118 453,5 309 294,4 903 807,7 352 595
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Ouest,Bubanza,935 858,1 053 046,965 451,1 191 850,1 229 704,1 460 831,1 307 672,1 080 654,1 095 934
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Ouest,Gatumba/Muzinda/Isare/Gihanga,1 826 207,2 415 926,2 377 541,2 192 544,2 964 892,5 597 595,4 644 008,2 836 393,2 707 885
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Ouest,Tora/Ijenda/Mwaro,3 503 334,3 549 464,4 748 882,4 252 900,4 983 761,6 535 252,4 212 296,5 560 223,4 629 697
11.03, Evolution des consommations d'électricité par centre (en Kwh)., REGIDESO.,Région Ouest,Muramvya/Bukeye,2 289 506,3 082 386,2 790 365,2 873 214,3 085 421,3 797 270,2 997 916,6 034 634,5 024 431
