id_tableau,titre_tableau,source,categorie,sous_categorie,2015,2016,2017
18.07,Evolution des primes émises par catégorie d'assurance Vie (en milliers de FBU),ARCA,Assurances individuelles,Contrat en cas de vie,"","",""
18.07,Evolution des primes émises par catégorie d'assurance Vie (en milliers de FBU),ARCA,Assurances individuelles,Contrat en cas de décès,428044,366027,630045
18.07,Evolution des primes émises par catégorie d'assurance Vie (en milliers de FBU),ARCA,Assurances individuelles,Mixte,208607,195955,246009
18.07,Evolution des primes émises par catégorie d'assurance Vie (en milliers de FBU),ARCA,Assurances individuelles,Epargne,1442254,1478373,1523591
18.07,Evolution des primes émises par catégorie d'assurance Vie (en milliers de FBU),ARCA,Assurances individuelles,Titre de capitalisation,"","",""
18.07,Evolution des primes émises par catégorie d'assurance Vie (en milliers de FBU),ARCA,Assurances individuelles,complémentaires,159032,73196,24829
18.07,Evolution des primes émises par catégorie d'assurance Vie (en milliers de FBU),ARCA,Assurances collectives,Contrat en cas de vie,"","",""
18.07,Evolution des primes émises par catégorie d'assurance Vie (en milliers de FBU),ARCA,Assurances collectives,Contrat en cas de décès,1271586,2090174,2033672
18.07,Evolution des primes émises par catégorie d'assurance Vie (en milliers de FBU),ARCA,Assurances collectives,Mixte,18877,"",713831
18.07,Evolution des primes émises par catégorie d'assurance Vie (en milliers de FBU),ARCA,Assurances collectives,Epargne,7227003,7322440,9285761
18.07,Evolution des primes émises par catégorie d'assurance Vie (en milliers de FBU),ARCA,Assurances collectives,Titre de capitalisation,"","",""
18.07,Evolution des primes émises par catégorie d'assurance Vie (en milliers de FBU),ARCA,Assurances collectives,Complémentaires,427437,511160,69149
