id_tableau,titre_tableau,source,categorie,sous-categorie,2010,2011,2012,2013,2014,2015,2016,2017,2018
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Bubanza,Total nouveaux-nés vivants,15590,14681,12073,14689,14430,15797,17228,22213,23781
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Bubanza,"Nouveaux-nés avec poids < 2,5 kg",581,465,397,599,690,1082,1613,760,781
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Bubanza,Nouveaux-nés décédés,64,108,102,16,98,87,35,45,42
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Cibitoke,Total nouveaux-nés vivants,14326,17829,19761,22671,25195,22531,18579,23141,24778
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Cibitoke,"Nouveaux-nés avec poids < 2,6 kg",840,1879,1322,1533,1191,1456,1339,1686,724
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Cibitoke,Nouveaux-nés décédés,173,175,124,20,133,110,42,50,33
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Bujumbura rural,Total nouveaux-nés vivants,15956,12828,15046,15888,15874,12600,12810,19550,19813
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Bujumbura rural,"Nouveaux-nés avec poids < 2,7 kg",1074,664,665,805,1053,1718,1317,1238,819
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Bujumbura rural,Nouveaux-nés décédés,79,142,87,23,78,58,53,18,33
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Bururi,Total nouveaux-nés vivants,16192,14532,15306,22232,26130,11512,12760,16763,22055
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Bururi,"Nouveaux-nés avec poids < 2,8 kg",491,481,502,356,430,285,295,385,821
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Bururi,Nouveaux-nés décédés,17,117,175,22,121,67,71,23,23
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Makamba,Total nouveaux-nés vivants,16640,14728,17165,21974,18917,18719,19061,23027,28451
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Makamba,"Nouveaux-nés avec poids < 2,9 kg",575,655,624,504,734,1023,1403,1007,1162
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Makamba,Nouveaux-nés décédés,54,210,173,32,191,184,32,35,19
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Gitega,Total nouveaux-nés vivants,24457,14396,14848,15526,16223,19026,18530,30534,36950
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Gitega,"Nouveaux-nés avec poids < 2,10 kg",2333,1224,1224,1367,1639,2804,3123,3256,2639
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Gitega,Nouveaux-nés décédés,197,250,208,36,168,187,205,88,143
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Karusi,Total nouveaux-nés vivants,9836,11046,12441,12811,13116,15688,14552,17181,20088
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Karusi,"Nouveaux-nés avec poids < 2,11 kg",1126,860,726,1256,1305,1291,1366,1125,997
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Karusi,Nouveaux-nés décédés,59,142,172,61,149,168,195,26,48
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Muramvya,Total nouveaux-nés vivants,6367,5449,5710,6404,6639,7333,6723,9045,10770
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Muramvya,"Nouveaux-nés avec poids < 2,12 kg",312,361,345,273,251,498,472,402,545
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Muramvya,Nouveaux-nés décédés,34,56,46,9,59,42,10,17,8
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Muyinga,Total nouveaux-nés vivants,17673,21735,20607,24249,23315,22832,24116,32101,35916
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Muyinga,"Nouveaux-nés avec poids < 2,13 kg",985,1171,1220,1089,977,1631,1644,1448,1487
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Muyinga,Nouveaux-nés décédés,106,436,342,32,314,250,105,87,86
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Mwaro,Total nouveaux-nés vivants,8348,4506,4210,4967,4974,5091,5323,6991,7946
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Mwaro,"Nouveaux-nés avec poids < 2,14 kg",936,326,283,386,579,777,523,770,564
4.16,Suivis des naissances dans les centres de santé par province.,MSPLS/Annuaire des statistiques sanitaires.,Mwaro,Nouveaux-nés décédés,206,107,48,9,73,64,13,37,11
