id_tableau,titre_tableau,source,categorie,sous-categorie,Libellés,2010,2011,2012,2013,2014,2015,2016,2017
17.06,"Emplois du PIB (en milliards de Fbu, prix courants)",ISTEEBU,(1) Consommation finale,Consommation finale,Consommation finale,2587,3077,3623,4339,4662,4814,5042,5777
17.06,"Emplois du PIB (en milliards de Fbu, prix courants)",ISTEEBU,(1) Consommation finale,Consommation finale,Consommation finale Ménage,2038,2430,2840,3396,3578,3773,3881,4468
17.06,"Emplois du PIB (en milliards de Fbu, prix courants)",ISTEEBU,(1) Consommation finale,Consommation finale,Consommation finale Administrations publiques,446,521,644,798,874,815,883,995
17.06,"Emplois du PIB (en milliards de Fbu, prix courants)",ISTEEBU,(1) Consommation finale,Consommation finale,Consommation finale ISBLs,103,125,138,144,210,227,278,313
17.06,"Emplois du PIB (en milliards de Fbu, prix courants)",ISTEEBU,(2) Investissement : (21) + (22),Investissement,Investissements,416,461,548,559,597,600,706,855
17.06,"Emplois du PIB (en milliards de Fbu, prix courants)",ISTEEBU,(2) Investissement : (21) + (22),Investissement,Investissements:Formation brute de capitale fixe,398,435,499,512,605,544,650,777
17.06,"Emplois du PIB (en milliards de Fbu, prix courants)",ISTEEBU,(2) Investissement : (21) + (22),Investissement,Investissements:Formation brute de capitale fixe-Privé,214,228,299,313,399,415,542,651
17.06,"Emplois du PIB (en milliards de Fbu, prix courants)",ISTEEBU,(2) Investissement : (21) + (22),Investissement,Investissements:Formation brute de capitale fixe-Publique,184,207,199,199,206,129,108,125
17.06,"Emplois du PIB (en milliards de Fbu, prix courants)",ISTEEBU,(2) Investissement : (21) + (22),Variations des stocks,Variations des stocks,17.6,25,50,46,-7.9,56,56,78
17.06,"Emplois du PIB (en milliards de Fbu, prix courants)",ISTEEBU,(3) Exportation nette (31) – (32),Exportation nette,Exportation nette,-501.4,-717.5,-813.9,-1085.1,-1074.1,-996.3,-899.3,-1070
