id_tableau,titre_tableau,source,categorie,sous-categorie,2010,2011,2012,2013,2014,2015,2016,2017,2018
4.12,Couverture vaccinale chez les enfants de moins de 1 an.,MSPLS/Annuaire des statistiques sanitaires.,Enfants de moins de 1 an,"",314113,325310,335915,335495,436402,446875,457994,369191,488656
4.12,Couverture vaccinale chez les enfants de moins de 1 an.,MSPLS/Annuaire des statistiques sanitaires.,BCG,"",341233,368353,354818,356632,367431,388954,380333,363186,392506
4.12,Couverture vaccinale chez les enfants de moins de 1 an.,MSPLS/Annuaire des statistiques sanitaires.,BCG,DTC I,332364,"","",353043,360426,376741,372036,355623,""
4.12,Couverture vaccinale chez les enfants de moins de 1 an.,MSPLS/Annuaire des statistiques sanitaires.,BCG,DTC II,328923,"","",341226,347161,362554,368515,346754,""
4.12,Couverture vaccinale chez les enfants de moins de 1 an.,MSPLS/Annuaire des statistiques sanitaires.,BCG,DTC III (Pentavalent3),321408,341108,333593,331871,340247,351530,363879,338993,345667
4.12,Couverture vaccinale chez les enfants de moins de 1 an.,MSPLS/Annuaire des statistiques sanitaires.,BCG,Polio 0,232182,"","",290042,311115,335861,334082,330438,""
4.12,Couverture vaccinale chez les enfants de moins de 1 an.,MSPLS/Annuaire des statistiques sanitaires.,BCG,Polio I,321887,"","",351539,358784,376345,370987,355121,""
4.12,Couverture vaccinale chez les enfants de moins de 1 an.,MSPLS/Annuaire des statistiques sanitaires.,BCG,Polio II,325289,"","",340124,346087,361627,367654,346244,""
4.12,Couverture vaccinale chez les enfants de moins de 1 an.,MSPLS/Annuaire des statistiques sanitaires.,BCG,Polio III (VPI),315488,341942,332288,330959,331871,351530,363879,338993,345324
4.12,Couverture vaccinale chez les enfants de moins de 1 an.,MSPLS/Annuaire des statistiques sanitaires.,Rougeole (VAR1),"",3083558,323945,335502,339186,343550,335616,361216,333197,331609
