id_tableau,titre_tableau,source,categorie,Libellés,2010,2011,2012,2013,2014,2015,2016,2017
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix courants,Extraction,12.2,10.4,13.3,15.5,14.3,18.3,18.4,27
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix courants,"Abattage, transformation et conserve de viande",17.9,4.9,5.7,6.3,10.8,23.2,34.2,49.9
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix courants,Boissons,115.2,158.8,162.7,183,200.2,190.2,257.2,290.8
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix courants,Autres produits des industries agro-alimentaires,74.1,70.1,116.7,145.2,146.9,164.8,185.5,198.2
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix courants,Textiles,1.6,0.6,0.7,1.7,0.7,3.6,3.8,3.9
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix courants,Autres produits des industries manufacturières,47.4,48.4,68.1,73.5,101.9,101,114.6,112.8
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix courants,"Electricité, gaz et eau",11.8,14.7,25.1,27.4,30.2,26.1,26.3,35.3
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix courants,Bâtiments et travaux publics,104.7,109.7,138,141.5,143.7,154,179.7,201.9
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix courants,Total VA,384.8,417.6,530.2,594.2,648.6,681.2,819.7,919.8
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix constant de l'année précédente,Extraction,12.2,13.9,11.3,14.8,13.9,13.4,18.2,25.4
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix constant de l'année précédente,"Abattage, transformation et conserve de viande",10.5,10.9,8.2,3.7,3,25.1,23.5,41.8
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix constant de l'année précédente,Boissons,111.5,131.3,156.3,163.7,258.3,179.7,185.1,290.6
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix constant de l'année précédente,Autres produits des industries agro-alimentaires,86.7,66.4,75.2,123.8,115.9,148.9,175.2,194.7
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix constant de l'année précédente,Textiles,1.5,1.7,0.6,1.3,-2,0.7,3.3,3.7
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix constant de l'année précédente,Autres produits des industries manufacturières,46.1,52.1,53.1,68.2,81.4,88.9,105.3,108.9
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix constant de l'année précédente,"Electricité, gaz et eau",12.1,9.3,17,26.5,27.7,28.8,26.9,30.8
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix constant de l'année précédente,Bâtiments et travaux publics,95.9,106.8,119.5,141.2,137,138.8,157.1,185.1
17.04,Evolution de la Valeur Ajoutée du secteur secondaire (en milliards de Fbu),ISTEEBU,A prix constant de l'année précédente,Total VA,376.4,392.2,441,543.1,635.1,624.2,694.6,881.1
